univLabel,alumniLabel,occupationLabel,employerLabel,positionLabel,wiki,alumniId,alumniNormalizedName,universityNormalizedName
Universitas Indonesia,Biyanto Rebin,Wikimediawan,Goethe-Institut Jakarta,Ketua,,alumni-cdd01e9589d7,biyanto rebin,universitas indonesia
Universitas Indonesia,Biyanto Rebin,Administrasi proyek,Goethe-Institut Jakarta,Ketua,,alumni-cdd01e9589d7,biyanto rebin,universitas indonesia
Universitas Indonesia,Biyanto Rebin,Wikimediawan,Wikimedia ESEAP Hub,Ketua,,alumni-cdd01e9589d7,biyanto rebin,universitas indonesia
Universitas Indonesia,Biyanto Rebin,Administrasi proyek,Wikimedia ESEAP Hub,Ketua,,alumni-cdd01e9589d7,biyanto rebin,universitas indonesia
Universitas Indonesia,Biyanto Rebin,Wikimediawan,Wikimedia Indonesia,Ketua,,alumni-cdd01e9589d7,biyanto rebin,universitas indonesia
Universitas Indonesia,Biyanto Rebin,Administrasi proyek,Wikimedia Indonesia,Ketua,,alumni-cdd01e9589d7,biyanto rebin,universitas indonesia
IPB University,Bobby Nasution,,,,,alumni-507175501478,bobby nasution,ipb university
Universitas Indonesia,Bondan Kanumoyoso,dosen,Universitas Indonesia,dekan,,alumni-3d6214293322,bondan kanumoyoso,universitas indonesia
Mulawarman University,Bonifasius Belawan Geh,,,,,alumni-c481ba26db5f,bonifasius belawan geh,mulawarman university
Mulawarman University,Bonifasius Belawan Geh,Businessman,,,,alumni-c481ba26db5f,bonifasius belawan geh,mulawarman university
Mulawarman University,Bonifasius Belawan Geh,Politician,,,,alumni-c481ba26db5f,bonifasius belawan geh,mulawarman university
Diponegoro University,Bonnie Triyana,,,,,alumni-0a9188856cce,bonnie triyana,diponegoro university
Diponegoro University,Bonnie Triyana,Politician,,,,alumni-0a9188856cce,bonnie triyana,diponegoro university
Diponegoro University,Bonnie Triyana,historian,,,,alumni-0a9188856cce,bonnie triyana,diponegoro university
Institut Teknologi Bandung,Brian Yuliarto,,,,,alumni-31a551aea30b,brian yuliarto,institut teknologi bandung
Universitas Gadjah Mada,Brigida Antónia Correia,Politician; agricultural scientist,,,,alumni-825583fbd36c,brigida antónia correia,universitas gadjah mada
Universitas Gadjah Mada,Budi Karya Sumadi,,,,,alumni-e358079fbd96,budi karya sumadi,universitas gadjah mada
Institut Teknologi Bandung,Budi Rahardjo,lektor,Institut Teknologi Bandung,Dosen,,alumni-e78432095b66,budi rahardjo,institut teknologi bandung
Institut Teknologi Bandung,Budi Rahardjo,pegawai negeri sipil,Institut Teknologi Bandung,Dosen,,alumni-e78432095b66,budi rahardjo,institut teknologi bandung
Institut Teknologi Bandung,Budi Rahardjo,ilmuwan komputer,Institut Teknologi Bandung,Dosen,,alumni-e78432095b66,budi rahardjo,institut teknologi bandung
Universitas Gadjah Mada,Budiharjo Sukmadi,,,,,alumni-b7c33f1a4a88,budiharjo sukmadi,universitas gadjah mada
Universitas Gadjah Mada,Budiman Sudjatmiko,,,,,alumni-e3288d9098da,budiman sudjatmiko,universitas gadjah mada
Esa Unggul University,Bunga Jelitha,"Actress, Model, TV Host",,Puteri Indonesia,,alumni-cd63e37dc06d,bunga jelitha,esa unggul university
Esa Unggul University,Bunga Jelitha,"Actress, Model, TV Host",,Puteri Jakarta SCR 5,,alumni-cd63e37dc06d,bunga jelitha,esa unggul university
Esa Unggul University,Bunga Jelitha,"Actress, Model, TV Host",,Puteri Indonesia 2017,,alumni-cd63e37dc06d,bunga jelitha,esa unggul university
Esa Unggul University,Bunga Jelitha,"Actress, Model, TV Host",,List of beauty pageants,,alumni-cd63e37dc06d,bunga jelitha,esa unggul university
Esa Unggul University,Bunga Jelitha,"Actress, Model, TV Host",,Miss Universe Indonesia 2017,,alumni-cd63e37dc06d,bunga jelitha,esa unggul university
Esa Unggul University,Bunga Jelitha,"Actress, Model, TV Host",,Supermodel International 2011,,alumni-cd63e37dc06d,bunga jelitha,esa unggul university
Esa Unggul University,Bunga Jelitha,"Actress, Model, TV Host",,Guess Girl South East Asia 2015,,alumni-cd63e37dc06d,bunga jelitha,esa unggul university
Institut Teknologi Bandung,Bunyamin Ramto,birokrat,Institut Sains dan Teknologi Nasional,rektor,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,profesor,Institut Sains dan Teknologi Nasional,rektor,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,insinyur,Institut Sains dan Teknologi Nasional,rektor,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,birokrat,Institut Sains dan Teknologi Nasional,Wakil Gubernur Daerah Khusus Jakarta,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,profesor,Institut Sains dan Teknologi Nasional,Wakil Gubernur Daerah Khusus Jakarta,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,insinyur,Institut Sains dan Teknologi Nasional,Wakil Gubernur Daerah Khusus Jakarta,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,birokrat,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta,rektor,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,profesor,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta,rektor,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,insinyur,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta,rektor,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,birokrat,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta,Wakil Gubernur Daerah Khusus Jakarta,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,profesor,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta,Wakil Gubernur Daerah Khusus Jakarta,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Institut Teknologi Bandung,Bunyamin Ramto,insinyur,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta,Wakil Gubernur Daerah Khusus Jakarta,,alumni-5e3a66c38ce3,bunyamin ramto,institut teknologi bandung
Universitas Gadjah Mada,Burhanuddin Harahap,,Indonesia,Prime minister,,alumni-4d20bd81006f,burhanuddin harahap,universitas gadjah mada
Universitas Gadjah Mada,Burhanuddin Harahap,Politician,Indonesia,Prime minister,,alumni-4d20bd81006f,burhanuddin harahap,universitas gadjah mada
Universitas Gadjah Mada,Burhanuddin Harahap,lawyer,Indonesia,Prime minister,,alumni-4d20bd81006f,burhanuddin harahap,universitas gadjah mada
Universitas Andalas,Busyra Azheri,pakar ilmu hukum,Universitas Andalas,Dekan fakultas hukum,,alumni-74efe376407a,busyra azheri,universitas andalas
Universitas Andalas,Busyra Azheri,dosen,Universitas Andalas,Dekan fakultas hukum,,alumni-74efe376407a,busyra azheri,universitas andalas
Universitas Brawijaya,Busyra Azheri,pakar ilmu hukum,Universitas Andalas,Dekan fakultas hukum,,alumni-75dfa25662a5,busyra azheri,universitas brawijaya
Universitas Brawijaya,Busyra Azheri,dosen,Universitas Andalas,Dekan fakultas hukum,,alumni-75dfa25662a5,busyra azheri,universitas brawijaya
Udayana University,Caliadi,,,,,alumni-d252e508ae37,caliadi,udayana university
Udayana University,Carma Citrawati,Wikimedian,,,,alumni-fdcbad7fe45b,carma citrawati,udayana university
Udayana University,Carma Citrawati,,,,,alumni-fdcbad7fe45b,carma citrawati,udayana university
Udayana University,Carma Citrawati,Writer,,,,alumni-fdcbad7fe45b,carma citrawati,udayana university
Udayana University,Carma Citrawati,literature activist,,,,alumni-fdcbad7fe45b,carma citrawati,udayana university
Atma Jaya Catholic University of Indonesia,Christina Aryani,Politician,,,,alumni-6cd53415dc75,christina aryani,atma jaya catholic university of indonesia
Trisakti University,Christy Jusung,Actor,,,,alumni-d6de3d8a94ad,christy jusung,trisakti university
Trisakti University,Christy Jusung,,,,,alumni-d6de3d8a94ad,christy jusung,trisakti university
Trisakti University,Christy Jusung,"Actress, model, presenter",,,,alumni-d6de3d8a94ad,christy jusung,trisakti university
National University (Indonesia),Chusnunia Chalim,,,,,alumni-765cef64db6e,chusnunia chalim,national university (indonesia)
Bandung Islamic University,Cindy May McGuire,,,,,alumni-ad3d7877beb1,cindy may mcguire,bandung islamic university
Bandung Islamic University,Cindy May McGuire,,,Miss International,,alumni-ad3d7877beb1,cindy may mcguire,bandung islamic university
Bandung Islamic University,Cindy May McGuire,,,Puteri Jakarta SCR-5,,alumni-ad3d7877beb1,cindy may mcguire,bandung islamic university
Bandung Islamic University,Cindy May McGuire,,,Miss International 1988,,alumni-ad3d7877beb1,cindy may mcguire,bandung islamic university
Bandung Islamic University,Cindy May McGuire,,,Puteri Jakarta SCR-5 2022,,alumni-ad3d7877beb1,cindy may mcguire,bandung islamic university
Bandung Islamic University,Cindy May McGuire,,,Miss Tourism Indonesia 2021,,alumni-ad3d7877beb1,cindy may mcguire,bandung islamic university
Bandung Islamic University,Cindy May McGuire,,,Puteri Indonesia Lingkungan,,alumni-ad3d7877beb1,cindy may mcguire,bandung islamic university
Bandung Islamic University,Cindy May McGuire,,,Puteri Indonesia Lingkungan 2022,,alumni-ad3d7877beb1,cindy may mcguire,bandung islamic university
Bandung Islamic University,Cindy May McGuire,,,Miss International Indonesia 2022,,alumni-ad3d7877beb1,cindy may mcguire,bandung islamic university
Pancasila University,Cinthia Kusuma Rani,Beauty pageant,,Miss Earth Indonesia,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,,,Miss Earth Indonesia,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Model,,Miss Earth Indonesia,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Beauty Pageant Titleholder,,Miss Earth Indonesia,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Commercial Model,,Miss Earth Indonesia,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Ministry of Environment and Forestry of Indonesia,,Miss Earth Indonesia,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Beauty pageant,,Luisa Andrea Soemitha,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,,,Luisa Andrea Soemitha,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Model,,Luisa Andrea Soemitha,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Beauty Pageant Titleholder,,Luisa Andrea Soemitha,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Commercial Model,,Luisa Andrea Soemitha,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Ministry of Environment and Forestry of Indonesia,,Luisa Andrea Soemitha,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Beauty pageant,,Miss Earth Indonesia 2019,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,,,Miss Earth Indonesia 2019,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Model,,Miss Earth Indonesia 2019,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Beauty Pageant Titleholder,,Miss Earth Indonesia 2019,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Commercial Model,,Miss Earth Indonesia 2019,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Ministry of Environment and Forestry of Indonesia,,Miss Earth Indonesia 2019,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Beauty pageant,,Puteri Batik Nusantara 2017,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,,,Puteri Batik Nusantara 2017,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Model,,Puteri Batik Nusantara 2017,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Beauty Pageant Titleholder,,Puteri Batik Nusantara 2017,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Commercial Model,,Puteri Batik Nusantara 2017,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Ministry of Environment and Forestry of Indonesia,,Puteri Batik Nusantara 2017,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Beauty pageant,,List of Miss Indonesia Earth,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,,,List of Miss Indonesia Earth,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Model,,List of Miss Indonesia Earth,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Beauty Pageant Titleholder,,List of Miss Indonesia Earth,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Commercial Model,,List of Miss Indonesia Earth,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Pancasila University,Cinthia Kusuma Rani,Ministry of Environment and Forestry of Indonesia,,List of Miss Indonesia Earth,,alumni-9bd52ddb5c79,cinthia kusuma rani,pancasila university
Udayana University,Cok Ace,Scientist,,,,alumni-21575e5e347c,cok ace,udayana university
Udayana University,Cok Ace,Politician,,,,alumni-21575e5e347c,cok ace,udayana university
Udayana University,Cok Ace,,,,,alumni-21575e5e347c,cok ace,udayana university
Udayana University,Cok Istri Krisnanda Widani,Beauty pageant,,Puteri Bali,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dance,,Puteri Bali,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,National Narcotics Board,,Puteri Bali,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism (Indonesia),,Puteri Bali,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism and Creative Economy,,Puteri Bali,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,,,Puteri Bali,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,model,,Puteri Bali,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dancer,,Puteri Bali,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Beauty pageant,,Puteri Indonesia,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dance,,Puteri Indonesia,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,National Narcotics Board,,Puteri Indonesia,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism (Indonesia),,Puteri Indonesia,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism and Creative Economy,,Puteri Indonesia,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,,,Puteri Indonesia,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,model,,Puteri Indonesia,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dancer,,Puteri Indonesia,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Beauty pageant,,Puteri Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dance,,Puteri Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,National Narcotics Board,,Puteri Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism (Indonesia),,Puteri Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism and Creative Economy,,Puteri Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,,,Puteri Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,model,,Puteri Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dancer,,Puteri Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Beauty pageant,,(Puteri Indonesia Pariwisata),,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dance,,(Puteri Indonesia Pariwisata),,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,National Narcotics Board,,(Puteri Indonesia Pariwisata),,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism (Indonesia),,(Puteri Indonesia Pariwisata),,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism and Creative Economy,,(Puteri Indonesia Pariwisata),,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Beauty pageant,,Miss and Mister Supranational,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dance,,Miss and Mister Supranational,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,National Narcotics Board,,Miss and Mister Supranational,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism (Indonesia),,Miss and Mister Supranational,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism and Creative Economy,,Miss and Mister Supranational,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,,,(Puteri Indonesia Pariwisata),,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,model,,(Puteri Indonesia Pariwisata),,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dancer,,(Puteri Indonesia Pariwisata),,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,,,Miss and Mister Supranational,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,model,,Miss and Mister Supranational,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dancer,,Miss and Mister Supranational,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Beauty pageant,,Miss Supranational Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dance,,Miss Supranational Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,National Narcotics Board,,Miss Supranational Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism (Indonesia),,Miss Supranational Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Ministry of Tourism and Creative Economy,,Miss Supranational Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,,,Miss Supranational Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,model,,Miss Supranational Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Udayana University,Cok Istri Krisnanda Widani,Balinese dancer,,Miss Supranational Indonesia 2013,,alumni-85f982d9ae72,cok istri krisnanda widani,udayana university
Universitas Gadjah Mada,Constant Karma,"Politician, bureaucrat",,,,alumni-3542eddd5437,constant karma,universitas gadjah mada
Brawijaya University,Corona Rintawan,,,,,alumni-ae2f8bcae6d5,corona rintawan,brawijaya university
Brawijaya University,Corona Rintawan,Emergency physician,,,,alumni-ae2f8bcae6d5,corona rintawan,brawijaya university
Institut Pertanian Bogor,Dadan Hindayana,entomolog,Badan Gizi Nasional,Kepala,,alumni-a9c4ffa0de7b,dadan hindayana,institut pertanian bogor
Institut Pertanian Bogor,Dadan Hindayana,dosen,Badan Gizi Nasional,Kepala,,alumni-a9c4ffa0de7b,dadan hindayana,institut pertanian bogor
Institut Pertanian Bogor,Dadan Hindayana,lektor,Badan Gizi Nasional,Kepala,,alumni-a9c4ffa0de7b,dadan hindayana,institut pertanian bogor
Universitas Islam Negeri UIN Sunan Ampel Surabaya,Dahlan Iskan,direktur utama,Tempo,Menteri BUMN,https://en.wikipedia.org/wiki/Dahlan_Iskan,alumni-c9e82fd4f471,dahlan iskan,universitas islam negeri uin sunan ampel surabaya
Universitas Islam Negeri UIN Sunan Ampel Surabaya,Dahlan Iskan,politikus,Tempo,Menteri BUMN,https://en.wikipedia.org/wiki/Dahlan_Iskan,alumni-c9e82fd4f471,dahlan iskan,universitas islam negeri uin sunan ampel surabaya
Universitas Islam Negeri UIN Sunan Ampel Surabaya,Dahlan Iskan,pebisnis,Tempo,Menteri BUMN,https://en.wikipedia.org/wiki/Dahlan_Iskan,alumni-c9e82fd4f471,dahlan iskan,universitas islam negeri uin sunan ampel surabaya
Universitas Islam Negeri UIN Sunan Ampel Surabaya,Dahlan Iskan,reporter,Tempo,Menteri BUMN,https://en.wikipedia.org/wiki/Dahlan_Iskan,alumni-c9e82fd4f471,dahlan iskan,universitas islam negeri uin sunan ampel surabaya
IPB University,Damayanti Buchori,,,,,alumni-9804c079fb5e,damayanti buchori,ipb university
Indonesia Institute of the Arts Yogyakarta,Danarto,"Artist, writer, painter, theater-director, stage-designer, poet",,,,alumni-e220ae4c892c,danarto,indonesia institute of the arts yogyakarta
Universitas Gadjah Mada,Dani Ramdan,,,,,alumni-bb9e3c1a386a,dani ramdan,universitas gadjah mada
Universitas Indonesia,Darwin Zahedy Saleh,komisaris,Universitas Indonesia,anggota Dewan Perwakilan Rakyat Daerah Indonesia,https://en.wikipedia.org/wiki/Darwin_Zahedy_Saleh,alumni-337b65caa579,darwin zahedy saleh,universitas indonesia
Universitas Indonesia,Darwin Zahedy Saleh,pegawai negeri sipil,Universitas Indonesia,anggota Dewan Perwakilan Rakyat Daerah Indonesia,https://en.wikipedia.org/wiki/Darwin_Zahedy_Saleh,alumni-337b65caa579,darwin zahedy saleh,universitas indonesia
Universitas Indonesia,Darwin Zahedy Saleh,ekonom,Universitas Indonesia,anggota Dewan Perwakilan Rakyat Daerah Indonesia,https://en.wikipedia.org/wiki/Darwin_Zahedy_Saleh,alumni-337b65caa579,darwin zahedy saleh,universitas indonesia
Universitas Indonesia,Darwin Zahedy Saleh,politikus,Universitas Indonesia,anggota Dewan Perwakilan Rakyat Daerah Indonesia,https://en.wikipedia.org/wiki/Darwin_Zahedy_Saleh,alumni-337b65caa579,darwin zahedy saleh,universitas indonesia
Atma Jaya Catholic University of Indonesia,Deddy Corbuzier,YouTuber,,,,alumni-532ac2214f02,deddy corbuzier,atma jaya catholic university of indonesia
Atma Jaya Catholic University of Indonesia,Deddy Corbuzier,Mentalism,,,,alumni-532ac2214f02,deddy corbuzier,atma jaya catholic university of indonesia
Atma Jaya Catholic University of Indonesia,Deddy Corbuzier,Magician (fantasy),,,,alumni-532ac2214f02,deddy corbuzier,atma jaya catholic university of indonesia
Atma Jaya Catholic University of Indonesia,Deddy Corbuzier,,,,,alumni-532ac2214f02,deddy corbuzier,atma jaya catholic university of indonesia
Atma Jaya Catholic University of Indonesia,Deddy Corbuzier,presenter,,,,alumni-532ac2214f02,deddy corbuzier,atma jaya catholic university of indonesia
Atma Jaya Catholic University of Indonesia,Deddy Corbuzier,Magician,,,,alumni-532ac2214f02,deddy corbuzier,atma jaya catholic university of indonesia
State University of Jakarta,Defia Rosmaniar,,,,,alumni-20f85fb8e9b1,defia rosmaniar,state university of jakarta
Syiah Kuala University,Deknong Kemalawati,Poet,,,,alumni-468416bf5204,deknong kemalawati,syiah kuala university
Universitas Gadjah Mada,Demetrio do Amaral de Carvalho,,Haburas,,,alumni-612da7e62afb,demetrio do amaral de carvalho,universitas gadjah mada
Universitas Gadjah Mada,Demetrio do Amaral de Carvalho,"Environmental Scientist, politician",Haburas,,,alumni-612da7e62afb,demetrio do amaral de carvalho,universitas gadjah mada
Universitas Andalas,Denny Abdi,career diplomat,Kementerian Luar Negeri,Duta Besar Indonesia untuk Vietnam,https://en.wikipedia.org/wiki/Denny_Abdi,alumni-ff5d6c2946d7,denny abdi,universitas andalas
Universitas Indonesia,Denny Abdi,career diplomat,Kementerian Luar Negeri,Duta Besar Indonesia untuk Vietnam,https://en.wikipedia.org/wiki/Denny_Abdi,alumni-96bcc35eff14,denny abdi,universitas indonesia
State University of Jakarta,Denny Cagur,Comedian,,,,alumni-422174b59b4d,denny cagur,state university of jakarta
State University of Jakarta,Denny Cagur,Politician,,,,alumni-422174b59b4d,denny cagur,state university of jakarta
State University of Jakarta,Denny Cagur,Television presenter,,,,alumni-422174b59b4d,denny cagur,state university of jakarta
State University of Jakarta,Denny Cagur,Celebrity,,,,alumni-422174b59b4d,denny cagur,state university of jakarta
State University of Jakarta,Denny Cagur,,,,,alumni-422174b59b4d,denny cagur,state university of jakarta
Brawijaya University,Derry Aman,,,,,alumni-fcea2d154a3d,derry aman,brawijaya university
Airlangga University,Desra Percaya,,Indonesia To The United Kingdom,Ambassador,,alumni-9643f865b03f,desra percaya,airlangga university
