alumniId,positionName
alumni-e494e3b9cf4b,asisten ahli
alumni-e6674530e4f3,Puteri Gorontalo
alumni-e6674530e4f3,Puteri Indonesia
alumni-e6674530e4f3,Puteri Indonesia 2010
alumni-e6674530e4f3,Puteri Indonesia Pariwisata 2010
alumni-e76c11b4f57f,rektor
alumni-e78432095b66,Dosen
alumni-e94a6db4f835,Head
alumni-e94a6db4f835,Regent
alumni-e9e7fc817f24,Governor
alumni-ef3e4f3d617c,Prime minister
alumni-ef91e50be813,full professor
alumni-ef9cbc0c5362,anggota DPR-RI
alumni-ef9cbc0c5362,anggota Dewan Perwakilan Rakyat Daerah Indonesia
alumni-f20f8f1f4e72,President
alumni-f3860930d2b9,Menteri Lingkungan Hidup dan Kehutanan Indonesia
alumni-f3860930d2b9,Menteri Pendidikan dan Kebudayaan Indonesia
alumni-f3860930d2b9,Menteri Pertahanan
alumni-f39456476314,Puteri Indonesia D.I. Yogyakarta 2022
alumni-f53ee9cdfe3d,Ministry
alumni-f55cf27f4f5c,Ambassador
alumni-f55cf27f4f5c,Ministry
alumni-f55cf27f4f5c,Secretary general
alumni-f5c9a4765630,Miss Universe Indonesia
alumni-f5c9a4765630,Miss Universe Indonesia 1977
alumni-f5fbe0fc78dd,Articles related to Joko Widodo
alumni-f5fbe0fc78dd,Chair
alumni-f5fbe0fc78dd,Chairperson
alumni-f5fbe0fc78dd,Governor
alumni-f5fbe0fc78dd,Indonesian democratic party
alumni-f5fbe0fc78dd,Mayor
alumni-f5fbe0fc78dd,Nominee for president
alumni-f5fbe0fc78dd,President
alumni-f8f7aae5e898,Assistant for planning and budget
alumni-f8f7aae5e898,Commander
alumni-f8f7aae5e898,Deputy inspector general
alumni-f8f7aae5e898,Governor
alumni-f987b873f505,Gubernur Daerah Khusus Jakarta
alumni-f9ea926e1f4e,Duta Besar Indonesia untuk Suriah
alumni-f9ea926e1f4e,Duta Besar Indonesia untuk Yaman
alumni-faf7c0be1a74,Rektor Universitas Islam Negeri Imam Bonjol
alumni-fb15673ba669,Katib aam
alumni-fb7c09c68dd3,Daftar Wakil Gubernur Sumatera Barat
alumni-fb7c09c68dd3,Gubernur Sumatera Barat
alumni-fb7c09c68dd3,Rektor
alumni-fc1d97f9c349,Duta Besar Indonesia untuk Britania Raya
alumni-fde1dd9256eb,Ministry
alumni-fea6fda58a6e,17
alumni-ff5d6c2946d7,Duta Besar Indonesia untuk Vietnam
alumni-ff7530948a6c,Rector
